session_id,user_id,articles_read,read_time,score
1420507,16,1630,2,4
1421031,1,685,4,5
1421267,39,1908,1,2
1421586,42,242,1,3
1421620,50,3975,1,3
1421696,37,2365,0,0
1421700,21,1157,1,2
1421880,4,1186,2,4
1421897,16,301,0,0
1421919,6,3565,1,2
1421992,5,3177,1,3
1422028,30,4421,1,2
1422078,37,3285,1,2
1422147,4,163,1,2
1422193,35,2811,3,5
1422201,1,4174,2,4
1422230,25,47,1,5
1422239,50,164,2,5
1422240,39,4147,2,5
1422251,50,4162,0,0
1422266,10,505,2,2
1422304,27,3313,0,0
1422330,27,2988,1,5
1422370,19,3040,2,2
1422374,35,3329,1,2
1422382,8,2726,1,3
1422387,36,1293,1,2
1422392,27,1698,3,3
1422394,40,3789,4,5
1422420,40,383,0,0
1422446,28,3820,6,5
1422448,28,1349,1,3
1422450,9,1485,2,5
1422456,10,4138,1,3
1422459,9,2475,3,4
1422468,47,3103,4,5
1422477,33,82,1,5
1422478,23,2083,0,0
1422480,46,4272,1,2
1422527,36,693,0,0
1422527,26,375,0,0
1422543,2,2986,3,5
1422546,18,4237,1,3
1422559,29,1782,1,3
1422596,24,2797,1,3
1422602,20,243,0,0
1422626,23,3694,2,5
1422635,12,1663,2,2
1422638,23,1876,0,0
1422638,50,1279,1,2
1422655,15,1950,0,0
1422658,32,1196,1,2
1422664,44,743,2,5
1422686,37,2015,0,0
1422686,33,474,0,0
1422690,38,2183,0,0
1422690,45,910,1,3
1422691,40,1892,0,0
1422694,12,2043,2,5
1422702,3,2610,2,4
1422714,32,628,0,0
1422720,39,712,2,5
1422725,12,1997,0,0
1422731,27,1277,4,5
1422731,50,4488,4,4
1422753,2,4155,1,3
1422763,41,883,3,4
1422784,28,729,0,0
1422785,18,2526,0,0
1422791,7,2432,1,3
1422791,29,3992,0,0
1422792,41,864,0,0
1422800,37,98,0,0
1422851,19,1423,2,5
1422852,40,3107,0,0
1422853,38,1494,0,0
1422860,28,2207,1,5
1422874,43,2934,2,4
1422881,42,3140,0,0
1422889,37,823,0,0
1422889,35,1066,4,4
1422897,38,4443,2,5
1422904,43,3723,2,5
1422917,3,1272,1,2
1422917,25,399,1,3
1422920,37,887,0,0
1422921,16,2954,0,0
1422923,35,3719,4,5
1422924,44,4638,0,0
1422947,30,1283,0,0
1422958,13,3092,0,0
1422961,28,1634,0,0
1422967,27,232,0,0
1422976,38,932,3,5
1422991,1,2267,1,3
1422991,23,3017,3,4
1422995,40,3491,0,0
1422999,21,1155,0,0
1423009,46,599,3,5
1423013,13,3772,0,0
1423013,34,3671,4,5
1423018,38,4004,3,5
1423018,50,1453,1,3
1423020,39,1488,3,5
1423022,22,4211,1,2
1423023,7,171,2,5
1423025,1,818,0,0
1423029,23,1140,3,3
1423035,46,142,0,0
1423039,40,3180,2,3
1423049,43,3265,0,0
1423050,11,78,0,0
1423053,9,352,1,3
1423055,45,855,2,2
1423056,2,3426,1,5
1423065,6,1066,3,3
1423071,48,1834,0,0
1423088,1,4072,0,0
1423088,40,4472,0,0
1423089,21,1740,0,0
1423090,48,4654,2,4
1423091,30,1719,3,3
1423091,20,1515,0,0
1423115,32,1311,0,0
1423128,48,3762,5,5
1423128,9,4463,1,2
1423129,20,4592,3,3
1423131,34,3913,1,3
1423134,34,3154,2,5
1423137,26,4225,0,0
1423155,2,3758,1,3
1423170,14,1969,5,5
1423184,3,2730,1,5
1423186,39,3502,2,5
1423191,23,4106,4,5
1423192,21,3039,2,2
1423196,33,525,2,5
1423199,38,156,2,5
1423200,49,2017,0,0
1423213,10,4536,1,3
